Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
11647054,1,96
11647060,1,8
11647074,1,96
11647074,2,96
11647075,1,96
11647075,2,98
11647076,1,96
11647293,1,99
11649026,2,96
11653358,1,96
11653566,1,99
11653566,2,3
11654549,1,96
11654549,2,96
11654563,1,98
11654563,2,98
11654573,1,99
11654573,2,99
11654579,2,96
11654585,1,96
11654585,2,98
11654590,1,99
11654590,2,96
11654592,1,99
11654592,2,96
11654593,1,96
11654594,1,96
11654608,1,98
11654608,2,96
11654610,1,96
11654610,2,96
11654612,1,99
11654612,2,96
11654614,1,96
11654614,2,96
11654649,1,96
11654649,2,96
11654655,1,96
11654655,2,96
11654658,1,96
11654658,2,98
11654659,1,98
11654659,2,99
11654661,1,96
11654661,2,96
11654664,1,96
11654664,2,96
11654666,1,96
11654666,2,96
11654691,1,96
11654691,2,96
11654694,1,99
11654694,3,96
11654696,1,99
11654696,2,98
11654705,1,96
11654705,2,96
11654733,1,98
11654740,1,96
11654740,2,96
11654744,1,96
11654744,2,96
11654749,2,96
11654778,1,96
11654778,2,96
11654781,1,96
11654781,2,96
11654791,2,96
11654795,1,98
11654795,2,96
